location_name,Walmart Supercenter,Super Saver,Russ's Market,Hy-Vee,Hy-Vee,Russ's Market,Whole Foods Market,Trader Joe's,Super Saver,Super Saver,Hy-Vee,Walmart Supercenter,Russ's Market,Super Saver,ALDI,Super Saver,Walmart Supercenter,Hy-Vee,Hy-Vee,Walmart Supercenter,Russ's Market,Walmart Supercenter,ALDI,Russ's Market,Russ's Market,Total
31079000400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5
31079000600,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,12
31079001300,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31081969200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31089974300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4
31095963600,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,17
31095963700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,8
31097967500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,5,6,NA,8,NA,NA,52,NA,NA,NA,83
31097967600,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,4,NA,5,NA,NA,49,NA,NA,NA,71
31107976200,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
31109000100,NA,10,NA,4,NA,NA,NA,NA,5,NA,5,88,66,10,5,NA,6,5,4,40,4,10,4,4,NA,270
31109000201,NA,25,4,5,NA,NA,4,NA,4,NA,28,113,65,11,9,NA,14,16,6,35,16,21,NA,4,4,384
31109000202,NA,29,NA,5,NA,NA,4,NA,5,NA,19,76,16,15,6,NA,4,7,NA,35,4,15,NA,NA,4,244
31109000300,NA,20,NA,NA,NA,NA,NA,NA,4,NA,12,39,9,17,4,NA,9,NA,NA,44,4,5,NA,NA,NA,167
31109000400,NA,24,5,6,NA,NA,5,NA,5,NA,12,20,6,38,8,NA,13,NA,NA,89,4,7,NA,NA,4,246
31109000500,NA,NA,NA,NA,NA,NA,4,NA,5,4,NA,4,NA,14,NA,NA,7,NA,NA,28,NA,NA,NA,NA,NA,66
31109000600,NA,4,NA,7,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,13,NA,4,NA,NA,NA,36
31109000700,NA,9,4,4,NA,NA,NA,NA,NA,NA,9,7,NA,4,NA,NA,6,NA,4,19,NA,NA,NA,NA,NA,66
31109000800,NA,49,NA,4,NA,NA,NA,NA,NA,NA,19,20,NA,14,NA,NA,9,NA,NA,60,NA,4,NA,4,NA,183
31109000900,NA,41,NA,4,NA,NA,NA,NA,NA,NA,19,24,NA,NA,4,NA,5,4,NA,24,NA,5,5,NA,NA,135
31109001001,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,16,61,14,6,9,NA,6,9,NA,25,14,6,NA,NA,NA,196
31109001002,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,13,9,NA,NA,NA,4,4,NA,NA,6,4,4,NA,NA,NA,53
31109001003,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,32,49,5,NA,7,NA,10,8,5,14,8,13,NA,NA,NA,176
31109001101,NA,15,NA,6,NA,NA,4,NA,4,NA,4,124,36,4,14,NA,9,47,6,22,11,30,NA,NA,NA,336
31109001102,NA,12,NA,NA,NA,NA,4,NA,4,NA,8,78,4,4,12,NA,7,30,NA,4,10,17,NA,NA,NA,194
31109001200,NA,32,NA,4,NA,NA,8,NA,4,NA,28,130,5,4,30,4,5,48,4,17,50,41,NA,4,4,422
31109001301,NA,13,NA,NA,NA,NA,10,4,NA,NA,29,23,NA,NA,9,NA,4,NA,9,5,31,26,4,NA,NA,167
31109001302,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,7,11,NA,NA,4,4,4,NA,19,4,13,29,NA,NA,4,104
31109001400,4,55,NA,NA,NA,NA,7,NA,NA,4,48,27,4,4,8,NA,14,NA,5,20,13,32,NA,8,NA,253
31109001500,NA,31,9,NA,NA,NA,4,NA,4,NA,12,16,NA,4,11,11,19,NA,14,15,NA,43,4,4,NA,201
31109001600,4,44,5,4,4,NA,7,NA,4,NA,27,26,4,4,6,4,28,4,NA,41,4,32,6,NA,NA,258
31109001700,NA,18,8,4,4,27,NA,NA,4,NA,7,13,NA,7,4,NA,23,NA,5,60,4,23,NA,NA,NA,211
31109001800,NA,16,NA,4,NA,4,NA,NA,NA,NA,NA,7,NA,4,NA,NA,11,NA,NA,25,NA,4,4,NA,NA,79
31109001900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,16
31109002001,4,8,NA,4,NA,12,4,NA,NA,NA,5,NA,NA,4,NA,NA,17,NA,NA,22,NA,7,NA,NA,NA,87
31109002002,NA,12,NA,NA,NA,6,NA,NA,4,NA,NA,6,NA,5,NA,4,16,NA,NA,29,4,15,NA,NA,NA,101
31109002100,NA,8,4,4,4,5,NA,NA,NA,NA,4,9,NA,5,NA,4,7,NA,NA,21,NA,7,4,16,NA,102
31109002200,NA,15,13,NA,4,18,4,NA,4,NA,8,9,4,9,NA,4,42,NA,4,39,4,20,NA,13,NA,214
31109002300,NA,12,17,NA,NA,31,4,NA,NA,4,10,22,NA,6,4,NA,46,4,13,28,NA,35,4,6,NA,246
31109002400,NA,4,24,4,8,4,4,NA,NA,NA,4,5,NA,4,NA,NA,22,NA,4,8,NA,6,NA,NA,NA,101
