location_name,Hy-Vee,ALDI,ALDI,Hy-Vee,Woodman's Market,Trader Joe's,Pick 'n Save,Woodman's Market,Pick 'n Save,ALDI,ALDI,Pick 'n Save,Woodman's Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Pick 'n Save,ALDI,Whole Foods Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Hy-Vee,Pick 'n Save,Pick 'n Save,Total
55025010300,NA,NA,NA,4,30,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,45,NA,4,4,97
55025011101,NA,NA,NA,4,4,NA,NA,41,NA,8,NA,NA,4,8,66,10,NA,NA,4,NA,4,NA,5,10,NA,168
55025010501,NA,NA,NA,4,25,NA,NA,6,4,NA,NA,NA,19,NA,4,NA,NA,NA,NA,NA,75,24,NA,4,NA,165
55025001300,NA,NA,NA,4,4,4,NA,4,NA,NA,NA,18,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,42
55021970800,NA,NA,NA,4,NA,NA,4,4,4,4,NA,NA,17,NA,4,NA,NA,4,NA,NA,NA,4,NA,7,NA,56
55049950200,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55025000408,NA,NA,NA,4,NA,NA,NA,31,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,5,NA,53
55025013100,NA,NA,NA,4,NA,NA,NA,13,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,33
55025012900,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,7,NA,8,NA,NA,NA,4,NA,NA,NA,NA,10,NA,38
55025002900,NA,NA,NA,NA,40,5,NA,4,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,5,NA,47,NA,NA,NA,110
55025002402,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,41
55025002200,NA,NA,NA,NA,29,NA,NA,4,NA,NA,NA,NA,8,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,49
55025001804,NA,NA,NA,NA,22,NA,NA,4,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,39
55025002401,NA,NA,NA,NA,19,NA,NA,4,NA,NA,NA,4,11,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,42
55025002500,NA,NA,NA,NA,18,NA,NA,4,4,NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,38
55025001900,NA,NA,NA,NA,15,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,NA,4,4,NA,NA,4,NA,NA,NA,37
55025002601,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,32
55055100500,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,4,21,NA,NA,NA,NA,4,NA,NA,NA,4,4,NA,4,48
55025000402,NA,NA,NA,NA,6,NA,NA,10,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,9,NA,NA,33
55025002302,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,14
55079011000,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55111000600,NA,NA,NA,NA,4,NA,NA,12,NA,4,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,34
55025001605,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,19
55133201505,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55025000800,NA,NA,NA,NA,4,4,NA,12,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,5,NA,NA,4,4,NA,NA,42
17043840801,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55025000902,NA,NA,NA,NA,4,6,NA,12,NA,NA,NA,NA,4,NA,NA,16,NA,NA,8,NA,NA,NA,5,NA,NA,55
55133204400,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55025000204,NA,NA,NA,NA,4,NA,NA,41,NA,6,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,79
55055101300,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
55105001304,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,12
55025001603,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,12
55105002700,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
18089030600,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
26065003601,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
36075020500,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55027960400,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
55025001705,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,25
55021970300,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
17201001700,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55105002000,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55055101000,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
55001950400,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55025001604,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,16
55105000500,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55133203803,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55105003300,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,8
55025010200,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,13
55025000901,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,16
55025001101,NA,NA,NA,NA,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,4,NA,NA,22
55025001704,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,8
55111000401,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,18
55097960300,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55079120203,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55123960300,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55079185300,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
55025000202,NA,NA,NA,NA,NA,4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,NA,34
55025001000,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,9,NA,NA,27
55025001200,NA,NA,NA,NA,NA,4,NA,14,NA,NA,NA,17,4,NA,NA,13,NA,NA,5,5,NA,NA,6,NA,4,72
55001950700,NA,NA,NA,NA,NA,NA,4,4,6,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,26
55111001001,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
55105001100,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,20
55025000205,NA,NA,NA,NA,NA,NA,NA,28,NA,4,NA,NA,NA,4,7,4,NA,NA,6,NA,NA,NA,6,24,NA,83
55025000700,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,4,NA,NA,6,4,NA,4,NA,NA,NA,7,NA,NA,40
55025000300,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,9,NA,NA,45
55111000700,NA,NA,NA,NA,NA,NA,NA,10,NA,4,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,4,5,4,35
55049950100,NA,NA,NA,NA,NA,NA,NA,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,18
55025000100,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,6,9,NA,NA,4,NA,NA,NA,6,4,NA,36
55025000201,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,19
55111000300,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
55025000401,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,10,NA,NA,21
55111000800,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,19
35045000401,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
55025012100,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,18
55021970900,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,31,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,49
48157673003,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55111000900,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55111000200,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55111001100,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
55025003200,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,4,NA,NA,NA,NA,4,NA,29
55025001102,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
19061010103,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,8
55127000400,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
55049950400,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8
55035001200,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
