year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2020,4,6,fl,US,2843367,1226290,1592823,1050325
2020,4,6,ga,US,1616536,665270,921124,579883
2020,4,6,gu,US,805,523,619,486
2020,4,6,hi,US,142276,58312,68496,49605
2020,4,6,ia,US,493280,215823,290880,183416
2020,4,6,id,US,181867,79588,102673,66945
2020,4,6,il,US,1518253,708271,888441,594100
2020,4,6,in,US,902090,398119,538709,339374
2020,4,6,ks,US,435875,189520,257510,161990
2020,4,6,ky,US,645777,271748,365308,222872
2020,4,6,la,US,713771,293477,413024,255659
2020,4,6,ma,US,532488,260711,314137,210249
2020,4,6,mb,CA,29221,20384,29221,20384
2020,4,6,md,US,595912,283488,344950,234634
2020,4,6,me,US,107483,49760,68269,43338
2020,4,6,mi,US,1062358,525321,689220,460970
2020,4,6,mn,US,607853,293926,367458,247103
2020,4,6,mo,US,907882,397496,530299,340981
2020,4,6,mp,US,204,156,204,156
2020,4,6,ms,US,528112,211423,309330,186133
2020,4,6,mt,US,95252,41352,53299,34339
2020,4,6,nb,CA,10319,7243,10319,7243
2020,4,6,nc,US,1451786,593148,838551,517349
2020,4,6,nd,US,96406,43049,55521,35264
2020,4,6,ne,US,312653,128679,174807,107168
2020,4,6,nh,US,133358,62554,80746,52081
2020,4,6,nj,US,924824,451668,569455,384499
2020,4,6,nl,CA,7126,5157,7126,5157
2020,4,6,nm,US,188903,83299,103404,67071
2020,4,6,ns,CA,13289,9744,13289,9744
2020,4,6,nt,CA,568,402,568,402
2020,4,6,nu,CA,213,146,213,146
2020,4,6,nv,US,315663,141459,166651,118243
2020,4,6,ny,US,1679732,830109,981264,675903
2020,4,6,oh,US,1566275,698542,928129,593992
2020,4,6,ok,US,704689,277951,395837,241893
2020,4,6,on,CA,273181,199995,273181,199995
2020,4,6,or,US,398179,178843,210670,146686
2020,4,6,pa,US,1277844,608442,774292,512475
2020,4,6,pe,CA,2107,1505,2107,1505
2020,4,6,pr,US,178507,114824,150614,110325
2020,4,6,qc,CA,149720,108229,149720,108229
2020,4,6,ri,US,90942,43472,53747,35208
2020,4,6,sc,US,817593,317421,461793,275804
2020,4,6,sd,US,114839,47441,64901,39489
2020,4,6,sk,CA,23585,17436,23585,17436
2020,4,6,tn,US,1065318,432467,603994,372344
2020,4,6,tx,US,4182640,1768810,2328870,1526171
2020,4,6,ut,US,345055,148351,188504,124536
2020,4,6,va,US,954678,419036,546253,354902
2020,4,6,vi,US,101,71,0,0
2020,4,6,vt,US,40565,20144,26120,16916
2020,4,6,wa,US,677905,314838,382322,267907
2020,4,6,wi,US,640212,302463,389964,256551
2020,4,6,wv,US,212942,94465,126933,79527
2020,4,6,wy,US,62838,27082,34109,21416
2020,4,6,yt,CA,485,388,485,388
2020,4,7,ALL,"",40250308,17825488,23402212,15344444
2020,4,7,ALL_CA,CA,668188,489500,668188,489500
2020,4,7,ALL_US,US,39582120,17336245,22734024,14854944
2020,4,7,ab,CA,84947,63402,84947,63402
2020,4,7,ak,US,51687,25432,29146,21123
2020,4,7,al,US,990286,397499,574366,351844
2020,4,7,ar,US,558847,218862,311493,186999
2020,4,7,as,US,43,25,34,23
2020,4,7,az,US,791139,337642,418994,284831
2020,4,7,bc,CA,79916,59285,79916,59285
2020,4,7,ca,US,3102768,1460877,1690542,1223609
2020,4,7,co,US,588760,264957,324964,219480
2020,4,7,ct,US,324463,151951,195309,127775
2020,4,7,dc,US,28485,16083,0,0
2020,4,7,de,US,104438,48815,60881,40363
2020,4,7,fl,US,2900460,1234822,1607975,1052552
2020,4,7,ga,US,1633978,676434,933160,588551
2020,4,7,gu,US,775,479,589,442
2020,4,7,hi,US,143015,58984,69496,49822
2020,4,7,ia,US,534573,225043,312808,189912
2020,4,7,id,US,186521,80343,104764,67268
2020,4,7,il,US,1628144,742855,949039,619220
2020,4,7,in,US,943006,416317,561941,352700
2020,4,7,ks,US,459851,194390,268543,165127
2020,4,7,ky,US,656501,279989,371024,226809
2020,4,7,la,US,718845,298013,414424,257826
2020,4,7,ma,US,535903,262393,316900,211890
2020,4,7,mb,CA,28734,19926,28734,19926
2020,4,7,md,US,591141,289113,345739,239611
2020,4,7,me,US,109589,50734,69223,43994
2020,4,7,mi,US,1094946,558791,720721,486707
2020,4,7,mn,US,646186,304587,385979,254061
2020,4,7,mo,US,958427,406625,548559,344712
2020,4,7,mp,US,204,156,204,156
2020,4,7,ms,US,519063,215035,305778,187442
2020,4,7,mt,US,96940,41942,54171,34607
2020,4,7,nb,CA,10077,7108,10077,7108
2020,4,7,nc,US,1457632,593932,841137,517765
2020,4,7,nd,US,98506,43545,56814,35680
2020,4,7,ne,US,327593,131814,181540,108964
2020,4,7,nh,US,135011,63559,82120,52882
2020,4,7,nj,US,925618,456511,571671,388638
2020,4,7,nl,CA,7031,5083,7031,5083
2020,4,7,nm,US,186431,84273,103471,67399
2020,4,7,ns,CA,13197,9634,13197,9634
2020,4,7,nt,CA,547,406,547,406
2020,4,7,nu,CA,235,164,235,164
2020,4,7,nv,US,316662,142324,167840,118372
2020,4,7,ny,US,1691386,841015,988729,682383
2020,4,7,oh,US,1569920,728225,948374,618443
2020,4,7,ok,US,720445,281296,400721,243040
2020,4,7,on,CA,270056,198347,270056,198347
2020,4,7,or,US,407223,180498,214837,147072
2020,4,7,pa,US,1285152,625182,782355,524111
2020,4,7,pe,CA,2055,1418,2055,1418
2020,4,7,pr,US,192836,120757,161564,115833
2020,4,7,qc,CA,147277,107297,147277,107297
2020,4,7,ri,US,92705,44305,54448,35738
2020,4,7,sc,US,815186,320761,466720,278283
2020,4,7,sd,US,117236,47796,66416,39793
2020,4,7,sk,CA,23610,17027,23610,17027
2020,4,7,tn,US,1068016,441146,608841,377893
2020,4,7,tx,US,4276026,1783232,2357648,1532189
2020,4,7,ut,US,355074,149662,192982,125091
2020,4,7,va,US,967677,428998,554773,361724
2020,4,7,vi,US,121,91,0,0
2020,4,7,vt,US,41908,20507,26921,17295
2020,4,7,wa,US,677294,318593,384593,269822
2020,4,7,wi,US,681865,314449,410326,264318
2020,4,7,wv,US,211857,96519,127683,80986
2020,4,7,wy,US,63756,27720,34734,21774
2020,4,7,yt,CA,506,403,506,403
2020,4,8,ALL,"",40307558,17627652,23121598,15176506
2020,4,8,ALL_CA,CA,661315,483219,661315,483219
2020,4,8,ALL_US,US,39646243,17144674,22460283,14693287
2020,4,8,ab,CA,85262,62991,85262,62991
2020,4,8,ak,US,51862,24528,28612,20516
2020,4,8,al,US,1010328,398042,574925,350766
2020,4,8,ar,US,577067,219777,314297,187789
2020,4,8,as,US,32,18,27,18
2020,4,8,az,US,790158,332524,411727,281890
2020,4,8,bc,CA,79591,58871,79591,58871
2020,4,8,ca,US,3098221,1426532,1662740,1203607
2020,4,8,co,US,586146,260426,319221,216207
2020,4,8,ct,US,311279,150625,186177,126259
2020,4,8,dc,US,29219,16123,0,0
2020,4,8,de,US,107562,48817,61719,40225
2020,4,8,fl,US,2904158,1225038,1597695,1046354
2020,4,8,ga,US,1659252,678231,930393,586390
2020,4,8,gu,US,793,480,604,445
2020,4,8,hi,US,140938,56411,67371,48410
2020,4,8,ia,US,499525,210805,287340,177248
2020,4,8,id,US,188022,78947,102941,65973
2020,4,8,il,US,1574705,721246,911035,600082
2020,4,8,in,US,962792,423462,567955,356080
2020,4,8,ks,US,464137,193132,266964,164000
2020,4,8,ky,US,659529,278528,377814,232808
2020,4,8,la,US,731105,293916,412783,254421
2020,4,8,ma,US,511983,259446,301886,209699
2020,4,8,mb,CA,28134,19820,28134,19820
2020,4,8,md,US,609974,287626,349579,237140
2020,4,8,me,US,110278,49991,68907,43480
2020,4,8,mi,US,1103712,528454,703889,461275
2020,4,8,mn,US,616707,292123,365204,244894
2020,4,8,mo,US,978924,408431,554625,347127
2020,4,8,mp,US,192,142,192,142
2020,4,8,ms,US,531392,213088,305020,185075
2020,4,8,mt,US,97384,40612,53040,33566
2020,4,8,nb,CA,9977,6931,9977,6931
2020,4,8,nc,US,1496509,604449,854270,523869
2020,4,8,nd,US,94230,42340,54082,34739
2020,4,8,ne,US,318956,128506,175666,106716
2020,4,8,nh,US,132827,62898,79537,52115
2020,4,8,nj,US,910790,454003,560917,386108
2020,4,8,nl,CA,7055,4976,7055,4976
2020,4,8,nm,US,184040,82356,99671,65787
2020,4,8,ns,CA,12821,9318,12821,9318
2020,4,8,nt,CA,550,398,550,398
2020,4,8,nu,CA,221,149,221,149
2020,4,8,nv,US,315537,138385,164235,115620
2020,4,8,ny,US,1635211,826327,951533,670946
2020,4,8,oh,US,1637450,725709,958821,612396
2020,4,8,ok,US,733396,280480,400726,241928
2020,4,8,on,CA,267827,195749,267827,195749
2020,4,8,or,US,411769,176944,212241,144803
2020,4,8,pa,US,1310299,624821,783008,520574
2020,4,8,pe,CA,1980,1343,1980,1343
2020,4,8,pr,US,169182,108748,140355,104013
2020,4,8,qc,CA,144423,105414,144423,105414
2020,4,8,ri,US,87815,43604,51384,35188
2020,4,8,sc,US,784476,317602,453354,275080
2020,4,8,sd,US,109328,46296,61683,38561
2020,4,8,sk,CA,22941,16844,22941,16844
2020,4,8,tn,US,1103434,456612,625611,390370
2020,4,8,tx,US,4328061,1791490,2351950,1531597
2020,4,8,ut,US,358623,147255,191687,123707
2020,4,8,va,US,980266,428817,554105,359652
2020,4,8,vi,US,107,79,0,0
2020,4,8,vt,US,40709,20331,26132,17042
2020,4,8,wa,US,685268,310624,381094,264950
2020,4,8,wi,US,634464,299495,382797,253637
