Census,Week_Start,Week_End,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate
53033006500,4/15/2020,4/29/2020,0,0,0,0,0,0,63,1288.67,64,1309.12
53033006600,3/31/2020,4/14/2020,0,0,0,0,0,0,30,606.68,31,626.9
53033006600,4/15/2020,4/29/2020,0,0,0,0,0,0,46,930.25,47,950.47
53033006700,3/31/2020,4/14/2020,6,54.43,6,54.43,0,0,80,725.68,82,743.82
53033006700,4/15/2020,4/29/2020,5,45.36,5,45.36,0,0,138,1251.8,156,1415.08
53033006800,3/31/2020,4/14/2020,0,0,0,0,0,0,24,679.61,24,679.61
53033006800,4/15/2020,4/29/2020,0,0,0,0,0,0,37,1047.73,38,1076.05
53033006900,3/31/2020,4/14/2020,0,0,0,0,0,0,36,778.43,36,778.43
53033006900,4/15/2020,4/29/2020,0,0,0,0,0,0,70,1513.62,71,1535.24
53033007000,3/31/2020,4/14/2020,2,23.52,2,23.52,0,0,66,776.26,68,799.78
53033007000,4/15/2020,4/29/2020,1,11.76,1,11.76,0,0,85,999.73,86,1011.49
53033007100,3/31/2020,4/14/2020,2,30.06,2,30.06,0,0,69,1037.2,74,1112.36
53033007100,4/15/2020,4/29/2020,5,75.16,5,75.16,0,0,80,1202.55,83,1247.64
53033007200,3/31/2020,4/14/2020,2,14.61,2,14.61,0,0,142,1037.22,148,1081.04
53033007200,4/15/2020,4/29/2020,4,29.22,4,29.22,0,0,154,1124.87,165,1205.22
53033007300,3/31/2020,4/14/2020,6,39.54,6,39.54,0,0,182,1199.3,194,1278.38
53033007300,4/15/2020,4/29/2020,21,138.38,21,138.38,0,0,228,1502.43,271,1785.78
53033007401,3/31/2020,4/14/2020,3,52.35,3,52.35,0,0,66,1151.75,66,1151.75
53033007401,4/15/2020,4/29/2020,2,34.9,2,34.9,0,0,66,1151.75,69,1204.1
53033007402,3/31/2020,4/14/2020,2,33.21,2,33.21,0,0,58,963.23,58,963.23
53033007402,4/15/2020,4/29/2020,2,33.21,2,33.21,0,0,84,1395.02,93,1544.49
53033007500,3/31/2020,4/14/2020,4,34.33,4,34.33,0,0,113,969.91,117,1004.24
53033007500,4/15/2020,4/29/2020,2,17.17,2,17.17,0,0,128,1098.66,134,1150.16
53033007600,3/31/2020,4/14/2020,0,0,0,0,0,0,56,1239.99,56,1239.99
53033007600,4/15/2020,4/29/2020,1,22.14,1,22.14,0,0,65,1439.27,69,1527.84
53033007700,3/31/2020,4/14/2020,3,55.59,3,55.59,0,0,77,1426.71,80,1482.29
53033007700,4/15/2020,4/29/2020,3,55.59,3,55.59,0,0,77,1426.71,81,1500.82
53033007800,3/31/2020,4/14/2020,2,36.15,2,36.15,0,0,51,921.81,54,976.03
53033007800,4/15/2020,4/29/2020,3,54.22,3,54.22,0,0,78,1409.82,83,1500.19
53033007900,3/31/2020,4/14/2020,6,86.72,6,86.72,0,0,77,1112.85,79,1141.76
53033007900,4/15/2020,4/29/2020,1,14.45,1,14.45,0,0,102,1474.17,108,1560.88
53033008001,3/31/2020,4/14/2020,1,12.95,1,12.95,0,0,83,1075.01,86,1113.87
53033008001,4/15/2020,4/29/2020,4,51.81,4,51.81,0,0,128,1657.85,140,1813.27
53033008002,3/31/2020,4/14/2020,1,22.33,1,22.33,0,0,109,2433.89,115,2567.86
53033008002,4/15/2020,4/29/2020,1,22.33,1,22.33,0,0,131,2925.13,144,3215.41
53033008100,3/31/2020,4/14/2020,11,165.1,11,165.1,0,0,482,7234.21,516,7744.51
53033008100,4/15/2020,4/29/2020,11,165.1,11,165.1,0,0,644,9665.63,709,10641.2
53033008200,3/31/2020,4/14/2020,6,119.84,6,119.84,0,0,68,1358.17,71,1418.09
53033008200,4/15/2020,4/29/2020,4,79.89,4,79.89,0,0,119,2376.81,123,2456.7
53033008300,3/31/2020,4/14/2020,2,61.93,2,61.93,0,0,39,1207.6,41,1269.52
53033008300,4/15/2020,4/29/2020,1,30.96,1,30.96,0,0,57,1764.95,64,1981.69
53033008400,3/31/2020,4/14/2020,0,0,0,0,0,0,72,938.64,72,938.64
53033008400,4/15/2020,4/29/2020,0,0,0,0,0,0,155,2020.68,162,2111.94
53033008500,3/31/2020,4/14/2020,5,80.67,5,80.67,0,0,86,1387.52,93,1500.45
53033008500,4/15/2020,4/29/2020,6,96.8,6,96.8,0,0,121,1952.2,135,2178.08
53033008600,3/31/2020,4/14/2020,5,63.42,5,63.42,0,0,75,951.31,80,1014.73
53033008600,4/15/2020,4/29/2020,3,38.05,3,38.05,0,0,52,659.57,53,672.26
53033008700,3/31/2020,4/14/2020,4,85.24,4,85.24,0,0,52,1108.17,58,1236.04
53033008700,4/15/2020,4/29/2020,1,21.31,0,0,1,21.31,118,2514.7,124,2642.57
53033008800,3/31/2020,4/14/2020,2,50.71,2,50.71,0,0,35,887.37,35,887.37
53033008800,4/15/2020,4/29/2020,0,0,0,0,0,0,59,1495.85,59,1495.85
53033008900,3/31/2020,4/14/2020,1,15.3,1,15.3,0,0,55,841.29,58,887.18
53033008900,4/15/2020,4/29/2020,1,15.3,1,15.3,0,0,79,1208.4,82,1254.28
53033009000,3/31/2020,4/14/2020,6,132.15,6,132.15,0,0,70,1541.7,73,1607.78
53033009000,4/15/2020,4/29/2020,9,198.22,9,198.22,0,0,92,2026.24,118,2598.87
53033009100,3/31/2020,4/14/2020,4,110.25,4,110.25,0,0,30,826.85,32,881.97
53033009100,4/15/2020,4/29/2020,4,110.25,4,110.25,0,0,33,909.53,37,1019.78
53033009200,3/31/2020,4/14/2020,18,488.11,18,488.11,0,0,259,7023.42,294,7972.53
53033009200,4/15/2020,4/29/2020,21,569.47,21,569.47,0,0,282,7647.12,319,8650.47
53033009300,3/31/2020,4/14/2020,5,141.39,5,141.39,0,0,63,1781.56,69,1951.23
53033009300,4/15/2020,4/29/2020,3,84.84,3,84.84,0,0,65,1838.12,76,2149.19
