tract,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Russ's Market,Hy-Vee,Hy-Vee,Hy-Vee,Hy-Vee,Hy-Vee,Super Saver,Super Saver,Super Saver,Super Saver,Super Saver,Total
31095963600,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31159960300,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4,NA,NA,40,NA,52
31151960900,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31153010626,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
31097967500,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,4,NA,NA,NA,NA,5,17
31097967600,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5
31067964900,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4
31055007462,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4
31153010620,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4
4013083000,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4
17043845200,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4
31055006506,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4
31151960600,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,NA,11
31133967800,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,8
29095017200,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4
31109000600,NA,NA,NA,NA,NA,NA,NA,4,NA,7,NA,NA,4,NA,NA,NA,15
31055007453,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4
31055004300,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4
31109000900,NA,NA,NA,NA,NA,NA,NA,NA,4,4,19,NA,41,NA,NA,NA,68
19135070200,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,8
31055003000,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4
31055007439,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4
